disease,biomarker,n_failures,n_nonfailures,deviation_at_t0,max_deviation,first_cross_tau,lead_time_hours,precision,flagged_insufficient
sepsis,temperature,63,137,2.1570703358933803,2.611472185579105,0.0,24.0,0.7974683544303798,False
sepsis,heart_rate,63,137,2.293081938063525,2.518450417101504,0.0,24.0,0.7777777777777778,False
sepsis,respiratory_rate,63,137,2.3699644377848013,2.3699644377848013,0.0,24.0,0.5754716981132075,False
sepsis,white_blood_cell_count,63,137,2.744080303242037,2.812593904640283,0.0,24.0,0.8076923076923077,False
sepsis,blood_pressure_sys,63,137,2.4715031267570624,2.78048991323597,0.0,24.0,0.75,False
sepsis,lactate,63,137,2.6491560761949415,2.701502616036181,0.0,24.0,0.8076923076923077,False
ards,oxygen_saturation,93,82,3.3255868322994924,3.3255868322994924,0.0,24.0,0.7079646017699115,False
ards,respiratory_rate,93,82,4.424871407919314,4.424871407919314,0.0,24.0,0.7008547008547008,False
ards,pf_ratio,93,82,3.346941479379435,3.9970344269790954,0.0,24.0,0.8080808080808081,False
ards,heart_rate,93,82,2.760619205460633,3.1148908639156043,0.0,24.0,0.7094017094017094,False
cardiac,heart_rate,27,98,2.058180894573284,2.5051494494739166,0.0,24.0,0.6428571428571429,False
cardiac,blood_pressure_sys,27,98,2.2521443192133566,2.2521443192133566,0.0,24.0,0.391304347826087,False
cardiac,blood_pressure_dia,27,98,1.8694925825064725,1.955911150940617,,,,False
cardiac,troponin,27,98,2.6390393812842756,2.677692725334783,0.0,24.0,0.675,False
cardiac,st_elevation,27,98,2.7101256832319383,2.7873528836035955,0.0,24.0,0.6585365853658537,False
cardiac,chest_pain_score,27,98,2.18134130714687,2.7041200473117493,0.0,24.0,0.6585365853658537,False
