model,regime,ece,brier
logistic_regression,static,0.04994998721938164,0.11339308291605832
logistic_regression,temporal,0.05236846204550031,0.12186808010534785
random_forest,static,0.07907499999999998,0.12028712500000001
random_forest,temporal,0.11579999999999997,0.14632775
gradient_boosting,static,0.08366025163222925,0.12581670944762027
gradient_boosting,temporal,0.1514332922779189,0.1897774360935288
xgboost,static,0.11478695835401595,0.1408582663136248
xgboost,temporal,0.1650745825190097,0.19783413014200618
lstm,static,0.2220162125211209,0.18648173855706537
lstm,temporal,0.20879950791597365,0.18731924440854228
tcn,static,0.1346178634208436,0.14060146139932025
tcn,temporal,0.12991771329101737,0.14438781417222774
