model,regime,aurc,risk_at_cov_0.8,cov_at_risk_0.1
logistic_regression,static,0.10951924177371006,0.10126582278481013,1.0
logistic_regression,temporal,0.15225479505712455,0.12345679012345678,0.1
random_forest,static,0.15806395945085147,0.20634920634920634,0.23
random_forest,temporal,0.13117902075415425,0.11392405063291139,1.0
gradient_boosting,static,0.17254191650405032,0.14,0.2
gradient_boosting,temporal,0.2032465623839549,0.19753086419753085,0.14
xgboost,static,0.21359162270192295,0.17,0.12
xgboost,temporal,0.22918602682994646,0.2537313432835821,0.07
lstm,static,0.11421612250036507,0.10465116279069768,1.0
lstm,temporal,0.09950134359333751,0.0975609756097561,1.0
tcn,static,0.20952686282555158,0.16,
tcn,temporal,0.2142770851171151,0.18,
