disease,biomarker,model,n_eval,auroc_complete,auroc_ablated,dbrs,critical
sepsis,temperature,logistic_regression,37,0.9476190476190477,0.9571428571428572,0.9900497512437811,False
sepsis,heart_rate,logistic_regression,37,0.9476190476190477,0.9523809523809524,0.995,False
sepsis,respiratory_rate,logistic_regression,37,0.9476190476190477,0.9523809523809524,0.995,False
sepsis,white_blood_cell_count,logistic_regression,37,0.9476190476190477,0.9476190476190477,1.0,False
sepsis,blood_pressure_sys,logistic_regression,37,0.9476190476190477,0.9523809523809524,0.995,False
sepsis,lactate,logistic_regression,37,0.9476190476190477,0.9523809523809524,0.995,False
ards,oxygen_saturation,logistic_regression,39,0.8194444444444445,0.7972222222222223,1.0278745644599303,False
ards,respiratory_rate,logistic_regression,39,0.8194444444444445,0.8166666666666668,1.0034013605442176,False
ards,pf_ratio,logistic_regression,39,0.8194444444444445,0.7416666666666667,1.104868913857678,False
ards,heart_rate,logistic_regression,39,0.8194444444444445,0.8111111111111111,1.0102739726027399,False
cardiac,heart_rate,logistic_regression,24,0.9411764705882353,0.9495798319327731,0.9911504424778761,False
cardiac,blood_pressure_sys,logistic_regression,24,0.9411764705882353,0.9411764705882353,1.0,False
cardiac,blood_pressure_dia,logistic_regression,24,0.9411764705882353,0.9243697478991596,1.0181818181818183,False
cardiac,troponin,logistic_regression,24,0.9411764705882353,0.9495798319327731,0.9911504424778761,False
cardiac,st_elevation,logistic_regression,24,0.9411764705882353,0.033613445378151266,27.999999999999996,True
cardiac,chest_pain_score,logistic_regression,24,0.9411764705882353,0.9327731092436975,1.009009009009009,False
sepsis,temperature,random_forest,37,0.95,0.9547619047619047,0.9950124688279302,False
sepsis,heart_rate,random_forest,37,0.95,0.9595238095238096,0.9900744416873448,False
sepsis,respiratory_rate,random_forest,37,0.95,0.9238095238095237,1.0283505154639176,False
sepsis,white_blood_cell_count,random_forest,37,0.95,0.9404761904761905,1.010126582278481,False
sepsis,blood_pressure_sys,random_forest,37,0.95,0.969047619047619,0.9803439803439803,False
sepsis,lactate,random_forest,37,0.95,0.9666666666666667,0.9827586206896551,False
ards,oxygen_saturation,random_forest,39,0.8194444444444445,0.8791666666666668,0.9320695102685624,False
ards,respiratory_rate,random_forest,39,0.8194444444444445,0.8083333333333333,1.0137457044673541,False
ards,pf_ratio,random_forest,39,0.8194444444444445,0.8444444444444444,0.9703947368421054,False
ards,heart_rate,random_forest,39,0.8194444444444445,0.8277777777777777,0.9899328859060404,False
cardiac,heart_rate,random_forest,24,0.9831932773109243,0.9663865546218486,1.0173913043478262,False
cardiac,blood_pressure_sys,random_forest,24,0.9831932773109243,0.9831932773109244,0.9999999999999999,False
cardiac,blood_pressure_dia,random_forest,24,0.9831932773109243,0.9915966386554622,0.9915254237288135,False
cardiac,troponin,random_forest,24,0.9831932773109243,0.9915966386554622,0.9915254237288135,False
cardiac,st_elevation,random_forest,24,0.9831932773109243,0.9747899159663865,1.0086206896551724,False
