model,regime,weighted_harm_loss,harm_high,harm_medium,harm_low,escalation_failures,false_escalations,harm_concentration
logistic_regression,static,0.64,1.6666666666666665,0.0,0.07407407407407407,2,0,0.9574468085106383
logistic_regression,temporal,0.81,1.9444444444444444,0.6000000000000001,0.09259259259259259,4,0,0.7373595505617977
random_forest,static,0.58,1.3888888888888888,0.0,0.14814814814814814,2,4,0.9036144578313253
random_forest,temporal,0.57,1.3888888888888888,0.30000000000000004,0.07407407407407407,1,0,0.7878151260504201
gradient_boosting,static,0.68,1.6666666666666665,0.0,0.14814814814814814,3,5,0.9183673469387755
gradient_boosting,temporal,0.89,2.2222222222222223,0.0,0.16666666666666666,3,5,0.930232558139535
xgboost,static,0.71,1.6666666666666665,0.0,0.2037037037037037,3,7,0.8910891089108911
xgboost,temporal,0.74,1.6666666666666665,0.30000000000000004,0.2037037037037037,3,7,0.7679180887372014
lstm,static,0.54,1.3888888888888888,0.0,0.07407407407407407,0,0,0.949367088607595
lstm,temporal,0.44,1.1111111111111112,0.0,0.07407407407407407,0,0,0.9375000000000001
tcn,static,0.97,2.5,0.0,0.12962962962962962,4,3,0.9507042253521126
tcn,temporal,1.08,2.7777777777777777,0.0,0.14814814814814814,7,4,0.949367088607595
