model,regime,n_test,accuracy,auroc,auprc,precision,recall,specificity,f1,ece,brier
logistic_regression,static,100,0.9,0.8751821272462359,0.8386527212709552,0.8518518518518519,0.7931034482758621,0.9436619718309859,0.8214285714285714,0.06631824693882432,0.08693292111941046
logistic_regression,temporal,100,0.86,0.815444390480816,0.7843217194549257,0.8571428571428571,0.6206896551724138,0.9577464788732394,0.72,0.13498412917469024,0.11173856319724053
random_forest,static,100,0.87,0.9363768819815445,0.878096993641288,0.7666666666666667,0.7931034482758621,0.9014084507042254,0.7796610169491526,0.05845,0.09196175000000001
random_forest,temporal,100,0.9,0.9023797960174842,0.7980602626311587,0.8518518518518519,0.7931034482758621,0.9436619718309859,0.8214285714285714,0.12185000000000001,0.10501724999999999
gradient_boosting,static,100,0.86,0.9045653229723167,0.8507532705962346,0.7419354838709677,0.7931034482758621,0.8873239436619719,0.7666666666666667,0.10848803661763418,0.11463065851884244
gradient_boosting,temporal,100,0.83,0.8610976202039824,0.776355997557091,0.6875,0.7586206896551724,0.8591549295774648,0.7213114754098361,0.11046188788738132,0.13124322605093938
xgboost,static,100,0.83,0.9203496843127732,0.8412331537390717,0.6875,0.7586206896551724,0.8591549295774648,0.7213114754098361,0.11351815803762293,0.1307234407392301
xgboost,temporal,100,0.82,0.8980087421078193,0.7972451513126733,0.6774193548387096,0.7241379310344828,0.8591549295774648,0.7,0.11725894385337597,0.125399978269347
lstm,static,100,0.91,0.9548324429334629,0.9030864952435014,0.8333333333333334,0.8620689655172413,0.9295774647887324,0.847457627118644,0.08175694156438112,0.0780841165867075
lstm,temporal,100,0.92,0.9616318601262749,0.9188359412189444,0.8620689655172413,0.8620689655172413,0.9436619718309859,0.8620689655172413,0.09363254205323758,0.0791467326484889
tcn,static,100,0.84,0.8780961631860125,0.8061937867511466,0.7241379310344828,0.7241379310344828,0.8873239436619719,0.7241379310344828,0.15039897903068872,0.1403734214776856
tcn,temporal,100,0.82,0.8474987858183584,0.753389039137566,0.72,0.6206896551724138,0.9014084507042254,0.6666666666666666,0.16315293781548806,0.16112893057303443
