model,disease,missingness,n_twins,mean_tcs,std_tcs
logistic_regression,sepsis,0.2,400,0.8922916666666667,0.10127464549157625
logistic_regression,sepsis,0.4,400,0.7771875,0.18449792865255515
logistic_regression,sepsis,0.6,400,0.7361458333333333,0.21957955305885787
random_forest,sepsis,0.2,400,0.8433333333333333,0.12918279469203492
random_forest,sepsis,0.4,400,0.7086458333333334,0.2124078384705941
random_forest,sepsis,0.6,400,0.75375,0.18964925593784376
gradient_boosting,sepsis,0.2,400,0.7577083333333334,0.15167339156336335
gradient_boosting,sepsis,0.4,400,0.6595833333333334,0.19151307251580618
gradient_boosting,sepsis,0.6,400,0.6734375,0.18281695151275404
xgboost,sepsis,0.2,400,0.8060416666666665,0.14355950542274176
xgboost,sepsis,0.4,400,0.6992708333333334,0.20200898009295143
xgboost,sepsis,0.6,400,0.71,0.2097178991460248
logistic_regression,ards,0.2,350,0.8982142857142857,0.14058334291037072
logistic_regression,ards,0.4,350,0.8696428571428572,0.1755548783318836
logistic_regression,ards,0.6,350,0.8835714285714286,0.16031325627051066
random_forest,ards,0.2,350,0.7570238095238094,0.15734425225860924
random_forest,ards,0.4,350,0.6958333333333334,0.1211203487812386
random_forest,ards,0.6,350,0.6640476190476191,0.15755789347385413
gradient_boosting,ards,0.2,350,0.6858333333333334,0.13189213666585933
gradient_boosting,ards,0.4,350,0.6175,0.11746453365448938
gradient_boosting,ards,0.6,350,0.6321428571428571,0.1398999480516437
xgboost,ards,0.2,350,0.6783333333333333,0.12524895842801084
xgboost,ards,0.4,350,0.645,0.13141023854194464
xgboost,ards,0.6,350,0.6752380952380952,0.16068412415388783
logistic_regression,cardiac,0.2,250,0.8456666666666667,0.20200550047516583
logistic_regression,cardiac,0.4,250,0.8221666666666667,0.22572482017811962
logistic_regression,cardiac,0.6,250,0.8348333333333332,0.2154883987596548
random_forest,cardiac,0.2,250,0.8386666666666667,0.21048726538412932
random_forest,cardiac,0.4,250,0.8526666666666668,0.19565019805765593
random_forest,cardiac,0.6,250,0.914,0.12374301327078363
gradient_boosting,cardiac,0.2,250,0.8525,0.19379434976283494
gradient_boosting,cardiac,0.4,250,0.849,0.20225561384874666
gradient_boosting,cardiac,0.6,250,0.8836666666666666,0.1643840354508646
xgboost,cardiac,0.2,250,0.8441666666666666,0.20477121379725227
xgboost,cardiac,0.4,250,0.8686666666666666,0.1800506101689806
xgboost,cardiac,0.6,250,0.9085,0.13512843684600384
