model,disease,n_twins,mean_tce,std_tce,median_tce
logistic_regression,sepsis,79,0.5266539547854628,0.32753528967297574,0.5489882195045984
logistic_regression,ards,74,0.3094495350899961,0.21652108561484523,0.3884506391808421
logistic_regression,cardiac,47,0.17977807982544514,0.10512921532677849,0.10631721706767219
random_forest,sepsis,79,0.4546601180759746,0.24676460006074868,0.49167404128531106
random_forest,ards,74,0.33663727829994766,0.0531130684703308,0.3276296882490103
random_forest,cardiac,47,0.14961951700323478,0.123938811031388,0.0634332422801067
gradient_boosting,sepsis,79,0.5052536879919305,0.3074329592874064,0.6153794216621153
gradient_boosting,ards,74,0.3720938686233105,0.08730984154182658,0.34621268848826303
gradient_boosting,cardiac,47,0.1542328168665009,0.1737170121663072,0.013187837986121902
xgboost,sepsis,79,0.518476530311421,0.33967639263094135,0.6007377337311433
xgboost,ards,74,0.3460775309320351,0.09922881109978178,0.35444235271122115
xgboost,cardiac,47,0.1512489182595405,0.1718058623470663,0.014470901859921208
